id,label,timeset,fan_count,category,username,users_can_post,link,post_activity,talking_about_count
144907535568790,Rooster Teeth,,984148,Broadcasting & Media Production Company,roosterteeth,yes,https://www.facebook.com/roosterteeth/,0.28,52621
972345416198277,Rooster Teeth Games,,5933,Video Game,roosterteethgames,yes,https://www.facebook.com/roosterteethgames/,0.01,7
1575347412785991,Cheddar,,1131958,Media/News Company,cheddar,no,https://www.facebook.com/cheddar/,0.3,1194575
1603492026642561,"Million Dollars, But: The Game",,44323,Games/Toys,MDBgame,yes,https://www.facebook.com/MDBgame/,0.01,39
1415508532040822,The Know,,14558,TV Show,rt.theknow,yes,https://www.facebook.com/rt.theknow/,0.01,34
356761211074094,RWBY,,361109,Interest,RT.RWBY,yes,https://www.facebook.com/RT.RWBY/,0.07,34158
99655597678,Halo Waypoint,,678206,Games/Toys,HaloWaypoint,no,https://www.facebook.com/HaloWaypoint/,0.0,362
6500552187,Hulu,,2662286,Entertainment Website,hulu,yes,https://www.facebook.com/hulu/,2.28,36863
193594844090352,Hanabee,,40491,Arts & Entertainment,HanabeeOfficial,yes,https://www.facebook.com/HanabeeOfficial/,0.04,84
268895495697,Achievement Hunter,,386819,TV Show,AchievementHunter,yes,https://www.facebook.com/AchievementHunter/,0.07,2719
128791113869297,Matt Hullum,,6599,Artist,matt.hullum,yes,https://www.facebook.com/matt.hullum/,0.0,4
175878362468302,Miles Luna,,14562,Public Figure,mileslunart,yes,https://www.facebook.com/mileslunart/,0.02,14
230334826981973,Brandon Farmahini,,4058,Producer,brandonfarmahinirt,yes,https://www.facebook.com/brandonfarmahinirt/,0.0,2
108561005900633,Kerry Shawcross,,4739,Artist,kerryshawcrossrt,yes,https://www.facebook.com/kerryshawcrossrt/,0.0,5
212800032086632,Jack Pattillo,,25985,Artist,jackpattillo,yes,https://www.facebook.com/jackpattillo/,0.0,11
203581446353141,Kara Eberle,,5285,Public Figure,karaeberlert,yes,https://www.facebook.com/karaeberlert/,0.0,5
168557679871352,Gustavo Sorola,,22668,Artist,gussorolart,yes,https://www.facebook.com/gussorolart/,0.09,521
150672761669948,Chris Demarais,,6527,Artist,chrisdemaraisrt,yes,https://www.facebook.com/chrisdemaraisrt/,0.01,124
160952800638676,RTX,,48122,Community,rtxevent,yes,https://www.facebook.com/rtxevent/,0.01,53
205849996120308,Griffon Ramsey,,40579,Artist,griffonramseyrt,no,https://www.facebook.com/griffonramseyrt/,0.01,444
123186947763033,Geoff Ramsey,,43365,Comedian,geofframseyrt,no,https://www.facebook.com/geofframseyrt/,0.0,37
85949884469,Red vs. Blue,,1570348,TV Show,redvsblue,yes,https://www.facebook.com/redvsblue/,0.01,5632
27349132105,Joel Heyman,,19444,Artist,joeact,yes,https://www.facebook.com/joeact/,0.0,9
45946768594,Ben King,,4058,Entrepreneur,bencking,yes,https://www.facebook.com/bencking/,0.0,2
